"Snake_ID";"Trap_ID";"Locality";"X";"Y";"Inv_situation";"Capture_day";"Test_day";"Acc_time";"Hour manip.";"Hour accl.";"Hour test";"Time_head_out_sec_raw";"Time_body_out_sec_raw";"Temperature";"R_H";"Weather";"Arena";"Official";"Repeatability";"Tracking";"Year_invasion";"Distance_Noahs";"SVL";"Weight";"Sex";"Hard_Drive";"ID";"time_central_area";"time_intermediate_area";"time_refuge_area_1";"time_refuge_area_2";"time_initial_refuge";"time_distant_wall";"time_lateral_1";"time_lateral_2";"time_hidden_bf_head_out";"total_time_hidden";"time_entrance";"time_hole_1";"time_hole_2";"time_hole_3";"time_hole_4";"mean_dist_refuge";"mean_dist_closest_refuge";"beh_moving";"beh_exploring_wall";"beh_immobile_exposed";"beh_head-out";"beh_hiding-head-out";"beh_head-out_after_body_out";"avg_speed";"avg_speed_exploring";"total_dist_travelled";"dist_travelled_exploring";"dist_trav_5min_body_out";"dist_trav_10min_body_out";"dist_trav_15min_body_out"
12050;27;"Sant Carles";375377;4319940;"CORE";"2023-06-02";"2023-06-05";"3";1899-12-31 16:58:00;1899-12-31 17:08:00;1899-12-31 17:13:00;2311;2416;24,3;68,3;"Cloudy, Sunny (90%)";"B";"Y";"N";"Y";2017,24621999999;6529,89180941359;NA;NA;NA;2;12050;0;0;36;18;181;114;109;195;2311;2347;151;48;175;183;96;1,13604366094763;0,3521512961317;460;17;82;74;20;1;0,008531858823;0,0537316784413043;25,595576469;24,716572083;12,636158715;0;0
12051;29;"Pou des Lleo";379460;4322181;"CORE";"2023-06-05";"2023-06-06";"1";1899-12-31 11:19:00;1899-12-31 11:29:00;1899-12-31 11:35:00;3000;3000;26,4;61,3;"Sunny";"A";"Y";"N";"Y";2018,51575;10976,8051243225;NA;NA;NA;2;12051;0;0;0;0;0;0;0;0;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12053;38;"Pou des Lleo";378181;4323597;"CORE";"2023-06-05";"2023-06-06";"1";1899-12-31 11:19:00;1899-12-31 11:29:00;1899-12-31 11:35:00;253;408;26,4;61,3;"Sunny";"D";"Y";"N";"Y";2014,1709;10434,6709320582;NA;NA;NA;2;12053;19;70;102;166;421;576;385;707;253;554;343;253;433;1272;145;1,14700931502625;0,387968393298855;1288;34;902;165;57;48;0,0204926852619233;0,0443163036413044;61,47805578577;57,07939909;7,617824121;18,9607469547;23,1612218944
14696;503;"Cas Ramons";363578;4322487;"CORE";"2023-06-05";"2023-06-06";"1";1899-12-31 14:49:00;1899-12-31 14:03:00;1899-12-31 14:08:00;1457;1700;25,9;63,8;"Cloudy, Sunny";"A";"Y";"N";"Y";2016,95055999999;6552,35776710396;NA;NA;NA;2;14696;7;33;279;32;392;130;198;289;1457;1640;344;134;451;216;215;1,03459716838162;0,269270314786029;682;80;58;500;40;276;0,0193105616556333;0,0780433852398827;57,9316849669;53,2255887336;16,8742722662;27,242628927;37,7508218761
14681;416;"Cala Aubarca";359990;4324491;"FRONT";"2023-06-05";"2023-06-06";"1";1899-12-31 14:49:00;1899-12-31 14:03:00;1899-12-31 14:08:00;1681;1836;25,9;63,8;"Cloudy, Sunny";"B";"Y";"N";"Y";2020,38195999999;10782,7228113385;NA;NA;NA;2;14681;3;38;59;163;267;151;239;299;1681;1781;229;126;278;305;281;1,10209250394094;0,315983278195242;682;152;54;282;49;146;0,0220299183865333;0,0840511825750733;66,0897551596;57,3229065162;17,6573046452;37,2234773939;51,2659130981
12054;49;"Pou des Lleo";380460;4321406;"CORE";"2023-06-05";"2023-06-06";"1";1899-12-31 14:49:00;1899-12-31 14:03:00;1899-12-31 14:08:00;1189;2297;25,9;63,8;"Cloudy, Sunny";"D";"Y";"N";"Y";2020,61779999999;11738,4451757313;NA;NA;NA;2;12054;17;79;124;37;879;80;94;109;1189;1581;853;177;159;153;77;0,935244611179986;0,16494121787456;531;8;134;746;0;34;0,0185559907431057;0,102614863521657;55,667972229317;54,48849253;24,715965426;51,07043798;0
14682;NA;"Pla de Sant Mateu";359894;4322510;"FRONT";"2023-06-05";"2023-06-06";"1";1899-12-31 15:35:00;1899-12-31 15:45:00;1899-12-31 15:50:00;3000;3000;27,9;71;"Sunny";"B";"Y";"N";"Y";2019,83690999999;9855,41724091346;NA;NA;NA;2;14682;0;0;0;0;0;0;0;0;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14799;536;"Noah's Garden";367332;4320013;"CORE";"2023-06-06";"2023-06-07";"1";1899-12-31 12:31:00;1899-12-31 12:42:00;1899-12-31 12:49:00;3000;3000;24,5;66,8;"Cloudy (100%)";"A";"Y";"N";"Y";2016,05444;2050,10135891466;NA;NA;NA;2;14799;0;0;0;0;0;0;0;0;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14797;539;"Noah's Garden";366869;4320091;"CORE";"2023-06-06";"2023-06-07";"1";1899-12-31 12:31:00;1899-12-31 12:42:00;1899-12-31 12:49:00;691;936;24,5;66,8;"Cloudy (100%)";"C";"Y";"N";"Y";2016,88171;2599,31396383602;NA;NA;NA;2;14797;25;90;117;144;731;225;361;392;691;915;617;312;379;431;346;1,0374769392424;0,292223139583693;1480;246;45;307;7;85;0,0498738872241667;0,091278225222973;149,6216616725;135,09177333;19,148443469;48,797402428;76,996396233
14681;416;"Cala Aubarca";359990;4324491;"FRONT";"2023-06-05";"2023-06-07";"2";1899-12-31 14:18:00;1899-12-31 14:30:00;1899-12-31 14:36:00;3000;3000;24,7;67,8;"Cloudy (100%)";"A";"Y";"Y";"Y";2020,38195999999;10782,7228113385;NA;NA;NA;2;14681;0;0;0;0;0;0;0;0;3000;3000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
